question_type,label,required,advanced,ideal_flow,common_mistakes,core_prescription,feedback_tone,start_template,updated_at
description,묘사,"[""묘사 대상이 분명함 (무엇/어디/누구)"", ""핵심 특징 2개 이상"", ""현재시제 중심으로 안정적""]","[""예시·감각·개인화 1개 이상 (단순 형용사 나열 아님)"", ""개인 반응/선호 이유 있음""]",대상 소개 → 전체 인상 → 세부 특징 2~3개 → 예시/경험 1개 → 짧은 마무리,"[""형용사만 나열 (big, nice, beautiful 반복)"", ""구체성 없음 (색, 분위기, 사용 방식 빠짐)"", ""묘사 중 이야기로 새거나 너무 단답""]","""특징 1개 + 예시 1개"" 묶음으로 선명하게",격려형 코칭 (4~5문장),One place I can describe is…,2026-03-15 13:52:49.959898+09
routine,루틴/습관,"[""어떤 루틴인지 분명함"", ""빈도 표현 있음 (usually, every day, on weekends)"", ""현재시제로 안정적""]","[""순서 연결어 사용 (first, then, after that)"", ""이유/느낌/예외 상황 짧게 있음""]",루틴 소개 → 빈도 제시 → 순서대로 3단계 설명 → 보통/예외 구분 → 짧은 느낌,"[""빈도 없이 행동만 나열"", ""순서가 흐려짐"", ""현재 습관인데 과거시제로 흔들림""]",빈도 + 순서 연결어를 먼저 고정,직설적 코칭 (4~5문장),"I usually… First,…",2026-03-15 13:52:49.959898+09
comparison,비교/변화,"[""비교의 두 축이 분명함 (예전 vs 지금)"", ""비교 포인트 최소 2개"", ""대비 표현 사용 (compared to, unlike, these days)""]","[""변화의 원인/배경이 있음"", ""변화에 대한 본인 의견 있음""]",비교 기준 제시 → 과거 상태 → 현재 상태 → 왜 바뀌었는지 → 개인적 평가,"[""한쪽만 말함 (지금만 길게, 과거 없음)"", ""원인 없이 차이만 말함"", ""비교 표현 없이 나열식 설명""]","첫 문장에서 비교축 세우기 — ""In the past…, but these days…""",분석형 코칭 (5문장 전후),"In the past…, but these days…",2026-03-15 13:52:49.959898+09
past_childhood,어릴 때 경험,"[""\""어릴 때\""라는 시간 앵커 분명 (when I was a child)"", ""배경 정보 있음 (어디서, 누구와, 어떤 상황)"", ""실제 사건/행동이 과거시제로 나옴""]","[""감정/반응 있음"", ""지금 돌아보는 의미 또는 지금과 어떻게 연결되는지""]",어린 시절 시점 → 배경 → 무슨 일이 있었는지 → 그때 반응 → 지금 돌아보는 의미,"[""childhood 앵커 없이 그냥 과거 경험처럼 말함"", ""과거시제가 약함"", ""사건보다 배경 설명만 길어짐""]","첫 문장에 childhood marker, 마지막에 지금 의미 붙이기",스토리 코칭형 (5~6문장),"When I was a child,…",2026-03-15 13:52:49.959898+09
past_special,기억에 남는 경험,"[""어떤 경험이 기억에 남는지 명확"", ""배경 있음 (시간/장소/함께한 사람)"", ""핵심 사건이 분명함""]","[""감정이나 반응 있음"", ""왜 기억에 남는지 이유 분명""]",기억에 남는 경험 소개 → 배경 → 핵심 사건 → 감정/반응 → 왜 기억나는지,"[""\""재밌었다\""만 있고 사건이 없음"", ""시간순 전개가 불분명"", ""왜 memorable인지 설명이 약함""]","사건 1개를 중심으로 서사화 — ""무슨 일이 있었는지""가 핵심",격려 + 구조 교정 (5~6문장),One memorable experience I had was…,2026-03-15 13:52:49.959898+09
rp_11,정보 요청 롤플레이,"[""목적/상황이 드러남"", ""질문 개수 3개 이상"", ""질문이 WH-질문 중심 (단순 yes/no 아님)""]","[""정중 표현 사용 (Could you~, Would you~)"", ""상대 답변을 지어내지 않음""]",인사/상황 제시 → 질문 1 → 질문 2 → 질문 3 → 짧은 마무리,"[""질문이 아니라 진술문으로 말함"", ""질문 수가 부족함"", ""혼자 질문하고 혼자 답까지 함""]",문장 품질보다 질문 개수 확보가 먼저,"체크리스트형, 직설적 (3~4문장)","Hi, I'd like some information. First,…",2026-03-15 13:52:49.959898+09
past_recent,최근 경험,"[""어떤 경험인지 분명함 (언제, 무엇을 했는지)"", ""배경/상황 설명 있음 (어디서, 누구와, 왜)"", ""구체적 사건 전개가 과거시제로 나옴""]","[""시간순 전개가 자연스러움 (first → then → after that)"", ""경험에 대한 감상/평가가 있음""]",경험 소개 → 배경/상황 → 무슨 일이 있었는지 순서대로 → 감상/평가,"[""구체적 사건 없이 일반적 설명만 함"", ""과거시제가 불안정함 (현재시제와 섞임)"", ""배경 설명만 길고 실제 일어난 일이 없음""]",최근 특정 경험 1개를 시간순으로 구체적으로 전개,직설형 교정 (4~5문장),I used to…,2026-03-18 00:16:48.421167+09
rp_12,상황 대응 롤플레이,"[""상황 도입 표현으로 시작 — 사과(I'm sorry), 양해(I'm afraid), 설명(I'm calling because), 요청(I need your help) 등 상황에 맞는 표현"", ""문제의 이유나 원인을 1문장 이상 설명"", ""서로 다른 해결 옵션 2개 이상 명시적 제시 (같은 옵션의 변형은 1개로 카운트)""]","[""현재 상태/진행 상황 설명 (The thing is... / Right now...)"", ""상대에게 선택 유도 질문 (Which would you prefer? / Would that work for you?)""]",상황 도입 → 문제 원인 설명 → 현재 상황 → 옵션 A → 옵션 B → 상대에게 선택 묻기,"[""상황 설명 없이 바로 대안부터 제시함"", ""옵션이 1개뿐이거나 너무 모호함 (I'll try to fix it)"", ""전화/대면 상황인데 상대와 대화하지 않고 독백함"", ""문제 원인 설명 없이 바로 대안으로 넘어감""]",상황 도입 1문장 + 이유 1문장 + 옵션 A/B 각 1문장 — 이 4문장이 최소 골격,문제 해결 코칭형 (4~5문장),"I'm sorry, but… Would you prefer A or B?",2026-03-18 00:09:18.3936+09
adv_14,비교 분석,"[""비교 주제가 분명함 (사회 변화, 두 대상 비교, 트렌드 변화 등)"", ""비교 축이 명확함 (과거 vs 현재, A vs B, 공통점 vs 차이점)"", ""이유/배경 최소 2개""]","[""개인 관찰을 넘어 일반적/사회적 맥락으로 확장"", ""구체적 예시 또는 관찰 사례 있음""]",비교 주제 제시 → 축 A 설명 → 축 B 설명 → 원인/배경 → 예시/시사점,"[""한쪽만 설명하고 비교 축이 없음"", ""비교는 있는데 이유/배경이 약함"", ""추상적 주장만 있고 구체적 예시가 없음""]","비교 축을 먼저 세우고, 각 축에 이유+예시 붙이기",논리 코칭형 (5~6문장),"Compared to the past, these days…",2026-03-18 00:16:48.459485+09
adv_15,의견/분석 제시,"[""핵심 요점이 분명함 (의견, 관찰, 트렌드 등 — 질문 유형에 맞게)"", ""뒷받침 포인트 최소 2개 (이유, 관찰 결과, 트렌드 등)"", ""논리 연결어 사용 (because, therefore, for example)""]","[""구체적 예시 1개 이상"", ""결론/요약/전망 있음""]",핵심 요점 → 포인트 1 + 예시 → 포인트 2 + 예시/설명 → 결론/전망,"[""핵심 요점 없이 두서없이 나열함"", ""같은 포인트를 반복"", ""예시 없이 추상적으로만 말함""]",첫 문장에 핵심 요점 + 뒷받침 2개 분리하여 말하기,명확하고 코칭적 (5~6문장),I think … for two reasons.,2026-03-18 00:16:48.474159+09
