type_code,type_label_ko,db_question_types,purpose,core_skill_targets,default_slot_order,slot_definitions,default_pass_criteria,default_retest_criteria,layer1_markers,graduation_relevance,created_at
description,묘사,{description},대상/장소/사물의 특징을 구조적으로 설명하게 한다.,"{description,detail_expansion,sentence_stability}","{topic_anchor,main_features,personal_comment}","{""topic_anchor"": {""label_ko"": ""대상 소개"", ""required"": true}, ""main_features"": {""label_ko"": ""핵심 특징 2~3개"", ""required"": true}, ""personal_comment"": {""label_ko"": ""개인적 느낌/이유"", ""required"": false}}","{topic_anchor_present,feature_count_min_2}","{topic_anchor_present,feature_count_min_2,no_major_collapse}","{""features"": [""it has"", ""there is"", ""one thing"", ""another thing"", ""also"", ""and it"", ""the reason""], ""personal"": [""i like it because"", ""thats why"", ""i think"", ""for me""], ""topic_anchor"": [""my favorite"", ""i really like"", ""the best thing"", ""let me tell you about"", ""i want to describe""]}",medium,2026-03-25 23:29:32.340815+09
routine,루틴,{routine},평소 습관이나 반복 행동을 순서와 빈도로 설명하게 한다.,"{sequence,habit_description,connector_usage}","{routine_anchor,step_1,step_2,step_3_optional,habit_or_reason}","{""step_1"": {""label_ko"": ""첫 단계"", ""required"": true}, ""step_2"": {""label_ko"": ""다음 단계"", ""required"": true}, ""routine_anchor"": {""label_ko"": ""상황 열기"", ""required"": true}, ""habit_or_reason"": {""label_ko"": ""마무리/이유"", ""required"": false}, ""step_3_optional"": {""label_ko"": ""후속 단계"", ""required"": false}}","{routine_anchor_present,sequence_progression,minimum_two_steps}","{sequence_progression,minimum_three_steps,no_major_collapse}","{""habit"": [""i always"", ""i tend to"", ""i like to"", ""thats how""], ""sequence"": [""first"", ""then"", ""next"", ""after that"", ""finally"", ""later"", ""before that"", ""second""], ""routine_anchor"": [""usually"", ""normally"", ""every day"", ""every morning"", ""on weekdays"", ""when i"", ""my routine""]}",medium,2026-03-25 23:29:32.340815+09
comparison,비교/변화,{comparison},두 시점 또는 두 대상을 비교하고 차이와 이유를 말하게 한다.,"{contrast,reasoning,comparison_structure}","{past_state,present_state,difference_statement,reason_statement}","{""past_state"": {""label_ko"": ""과거 상태"", ""required"": true}, ""present_state"": {""label_ko"": ""현재 상태"", ""required"": true}, ""reason_statement"": {""label_ko"": ""이유"", ""required"": true}, ""difference_statement"": {""label_ko"": ""핵심 차이"", ""required"": true}}","{past_mention,present_mention,difference_statement,reason_statement}","{past_mention,present_mention,difference_statement,reason_statement,no_major_collapse}","{""past"": [""in the past"", ""before"", ""when i was younger"", ""back then"", ""used to"", ""years ago"", ""when i was a kid"", ""growing up""], ""reason"": [""because"", ""since"", ""thats why"", ""the reason is"", ""so now"", ""due to"", ""i think this is because"", ""this happened because""], ""present"": [""these days"", ""now"", ""nowadays"", ""today"", ""currently"", ""recently"", ""at the moment""], ""difference"": [""different"", ""the biggest difference"", ""more than"", ""less than"", ""compared to"", ""unlike"", ""whereas"", ""on the other hand"", ""changed""]}",high,2026-03-25 23:29:32.340815+09
rp_12,롤플레이 12 (문제 해결),{rp_12},문제를 설명하고 이유와 대안을 요청하게 한다.,"{problem_explanation,repair_strategy,alternative_request}","{opening_optional,problem_statement,reason_or_detail,alternative_request,confirmation_optional}","{""opening_optional"": {""label_ko"": ""도입/사과"", ""required"": false}, ""reason_or_detail"": {""label_ko"": ""세부 설명/이유"", ""required"": true}, ""problem_statement"": {""label_ko"": ""문제 설명"", ""required"": true}, ""alternative_request"": {""label_ko"": ""대안 제시"", ""required"": true}, ""confirmation_optional"": {""label_ko"": ""확인/마무리"", ""required"": false}}","{problem_statement,reason_or_detail,alternative_request}","{problem_statement,reason_or_detail,alternative_request,no_major_collapse}","{""reason"": [""because"", ""the reason is"", ""what happened was"", ""it turns out"", ""apparently""], ""apology"": [""im sorry"", ""i apologize"", ""excuse me"", ""i hate to say this""], ""problem"": [""there is a problem"", ""it doesnt work"", ""i cant"", ""something is wrong"", ""unfortunately"", ""im afraid"", ""the issue is"", ""the problem is"", ""it seems like"", ""i noticed that""], ""alternative"": [""instead"", ""another option"", ""alternatively"", ""or i can"", ""could you"", ""maybe i can"", ""would it be possible"", ""how about"", ""is there any way"", ""one option is"", ""another option is""]}",high,2026-03-25 23:29:32.340815+09
past_childhood,과거 경험(어린 시절),{past_childhood},어린 시절 경험을 과거 시점과 배경을 포함해 말하게 한다.,"{past_narration,time_anchor,detail_expansion}","{time_anchor,background,main_event,result_or_feeling}","{""background"": {""label_ko"": ""상황 배경"", ""required"": true}, ""main_event"": {""label_ko"": ""핵심 사건"", ""required"": true}, ""time_anchor"": {""label_ko"": ""시간 배경"", ""required"": true}, ""result_or_feeling"": {""label_ko"": ""결과/느낌"", ""required"": false}}","{past_anchor_present,main_event_present}","{past_anchor_present,main_event_present,result_or_feeling_present}","{""event"": [""one day"", ""one time"", ""there was"", ""i went"", ""we did"", ""it happened""], ""feeling"": [""i felt"", ""it was"", ""i was so"", ""that was"", ""i still remember"", ""i loved"", ""it made me""], ""past_anchor"": [""when i was young"", ""when i was a kid"", ""growing up"", ""as a child"", ""i remember"", ""back when i was"", ""years ago""]}",high,2026-03-25 23:29:32.340815+09
past_special,과거 경험(특별한 경험),{past_special},기억에 남는 사건을 시간 흐름과 결과 중심으로 서술하게 한다.,"{timeline_flow,event_narration,connected_discourse}","{event_anchor,before_or_setup,main_event,after_or_result,feeling_or_significance}","{""main_event"": {""label_ko"": ""핵심 사건"", ""required"": true}, ""event_anchor"": {""label_ko"": ""사건 배경"", ""required"": true}, ""after_or_result"": {""label_ko"": ""결과"", ""required"": false}, ""before_or_setup"": {""label_ko"": ""상황 설정"", ""required"": false}, ""feeling_or_significance"": {""label_ko"": ""느낌/의미"", ""required"": false}}","{event_anchor_present,sequence_progression,result_or_feeling_present}","{event_anchor_present,sequence_progression,result_or_feeling_present,no_major_collapse}","{""feeling"": [""i felt"", ""it was amazing"", ""i was so"", ""that experience"", ""i learned"", ""since then""], ""sequence"": [""first"", ""then"", ""next"", ""after that"", ""finally"", ""later"", ""suddenly"", ""at that moment""], ""event_anchor"": [""one day"", ""last year"", ""a few months ago"", ""i remember"", ""there was a time"", ""the most memorable""]}",high,2026-03-25 23:29:32.340815+09
past_recent,과거 경험(최근),{past_recent},최근 경험을 시간 순서로 자연스럽게 설명하게 한다.,"{recent_time_frame,sequence,fluency,detail}","{recent_context,what_happened_first,what_happened_next,outcome,comment_or_feeling}","{""outcome"": {""label_ko"": ""결과"", ""required"": false}, ""recent_context"": {""label_ko"": ""최근 배경"", ""required"": true}, ""comment_or_feeling"": {""label_ko"": ""코멘트/느낌"", ""required"": false}, ""what_happened_next"": {""label_ko"": ""다음 일"", ""required"": true}, ""what_happened_first"": {""label_ko"": ""처음 일"", ""required"": true}}","{recent_anchor_present,sequence_progression,outcome_present}","{recent_anchor_present,sequence_progression,outcome_present,no_major_collapse}","{""outcome"": [""in the end"", ""it turned out"", ""so now"", ""eventually"", ""i ended up""], ""sequence"": [""first"", ""then"", ""after that"", ""finally"", ""so"", ""and then""], ""recent_anchor"": [""recently"", ""last week"", ""a few days ago"", ""just the other day"", ""not long ago"", ""the last time""]}",high,2026-03-25 23:29:32.340815+09
rp_11,롤플레이 11 (정보 질문),{rp_11},정보를 얻기 위해 질문을 구조적으로 구성하게 한다.,"{questioning,information_category_coverage,conversation_opening}","{opening,question_1,question_2,question_3,closing_optional}","{""opening"": {""label_ko"": ""도입"", ""required"": false}, ""question_1"": {""label_ko"": ""질문 1"", ""required"": true}, ""question_2"": {""label_ko"": ""질문 2"", ""required"": true}, ""question_3"": {""label_ko"": ""질문 3"", ""required"": true}, ""closing_optional"": {""label_ko"": ""마무리"", ""required"": false}}","{minimum_three_questions,category_diversity_min_2}","{minimum_three_questions,category_diversity_min_2,no_major_collapse}","{""closing"": [""thank you"", ""thanks"", ""i appreciate"", ""thats all""], ""opening"": [""hello"", ""hi"", ""excuse me"", ""im calling to"", ""i was wondering""], ""question_markers"": [""how much"", ""how long"", ""when does"", ""where is"", ""what time"", ""do i need"", ""is there"", ""can i"", ""could you tell me"", ""i was wondering"", ""id like to know"", ""what kind of""]}",high,2026-03-25 23:29:32.340815+09
adv_14,고급 14 (변화/비교),{adv_14},"사회적/일반적 변화와 원인, 영향을 설명하게 한다.","{trend_explanation,cause_analysis,impact_statement}","{change_statement,comparison_or_trend,cause,impact}","{""cause"": {""label_ko"": ""원인"", ""required"": false}, ""impact"": {""label_ko"": ""영향/결과"", ""required"": false}, ""change_statement"": {""label_ko"": ""변화 설명"", ""required"": true}, ""comparison_or_trend"": {""label_ko"": ""비교/추세"", ""required"": true}}","{change_statement,cause_statement}","{change_statement,cause_statement,impact_statement}","{""cause"": [""because"", ""due to"", ""the main reason"", ""this is because"", ""thanks to"", ""as a result of""], ""change"": [""has changed"", ""is different"", ""has evolved"", ""used to be"", ""not anymore"", ""these days"", ""over the years"", ""in recent years""], ""impact"": [""as a result"", ""this has led to"", ""because of this"", ""the impact is"", ""it affects"", ""this means that""]}",high,2026-03-25 23:29:32.340815+09
adv_15,고급 15 (이슈/의견),{adv_15},"이슈 배경, 반응, 중요성, 개인 의견을 구조적으로 제시하게 한다.","{issue_framing,public_reaction,opinion_support}","{issue_background,public_reaction,why_it_matters,personal_opinion}","{""why_it_matters"": {""label_ko"": ""중요성"", ""required"": false}, ""public_reaction"": {""label_ko"": ""대중 반응"", ""required"": false}, ""issue_background"": {""label_ko"": ""이슈 배경"", ""required"": true}, ""personal_opinion"": {""label_ko"": ""개인 의견"", ""required"": true}}","{issue_background,personal_opinion}","{issue_background,public_reaction,personal_opinion}","{""issue"": [""recently"", ""these days"", ""there has been"", ""one issue is"", ""a big concern is"", ""people are talking about""], ""opinion"": [""i think"", ""in my opinion"", ""personally"", ""i believe"", ""from my perspective"", ""as far as im concerned""], ""reaction"": [""many people think"", ""some people believe"", ""there are concerns"", ""people are worried"", ""the public reaction""]}",high,2026-03-25 23:29:32.340815+09
