user_id,current_plan,mock_exam_credits,script_credits,plan_expires_at,created_at,updated_at,plan_mock_exam_credits,plan_script_credits,plan_tutoring_credits,tutoring_credits,balance_krw
ac8c6123-4802-4db8-8a94-538d0276a6da,allinone,0,0,2026-04-30 00:00:00+09,2026-02-20 23:06:39.100282+09,2026-04-01 21:36:50.560588+09,8,49,3,0,0
3571e9eb-b56f-4bdb-85fb-bfaa31a7ee25,allinone,0,0,2026-04-30 00:00:00+09,2026-03-15 16:06:32.212677+09,2026-04-02 23:03:40.687718+09,6,49,2,0,0
925b810a-b6be-42bd-8031-459fe337ecf7,allinone,0,0,2026-04-30 00:00:00+09,2026-03-14 22:23:50.72983+09,2026-03-17 22:47:50.239063+09,10,50,3,0,0
7541ef28-a92a-417c-8e47-2d982a52f4df,free,0,0,,2026-04-03 01:17:00.043886+09,2026-04-03 01:17:00.043886+09,0,0,0,0,0
9385981d-11c8-44c4-af38-ef32b029f6b3,allinone,0,0,2026-04-30 00:00:00+09,2026-03-16 20:33:38.894791+09,2026-03-17 22:47:50.239063+09,10,50,3,0,0
2793f2be-0fa6-4e6c-90fe-d75ff29a3069,free,0,0,,2026-04-03 09:48:15.083818+09,2026-04-03 09:48:15.083818+09,0,0,0,0,0
86ae62d5-f918-4707-ab4b-a898d4fa8ed6,free,0,0,,2026-04-03 09:48:19.070735+09,2026-04-03 09:48:19.070735+09,0,0,0,0,0
3a2e4e60-b7a3-4357-b813-57c8e224a195,allinone,0,2,2026-04-30 00:00:00+09,2026-03-15 16:27:00.687568+09,2026-03-18 10:26:04.384206+09,10,50,3,0,0
8fa2479b-35a1-42d6-9ce6-d5ae409feb7f,free,0,0,,2026-03-13 22:51:42.710114+09,2026-03-14 21:52:07.441567+09,0,0,0,0,0
becc2e69-1d3b-4aff-8256-1240de5f86d8,beta,0,0,2026-04-30 23:59:59+09,2026-04-03 10:52:15.394682+09,2026-04-03 11:03:22.04579+09,3,15,0,0,0
cffac7a1-cede-4dc6-b2ce-a72db70954c4,free,0,0,,2026-02-27 11:38:49.632634+09,2026-03-14 21:52:11.50842+09,0,0,0,0,0
f68503f2-a390-4706-8eda-4f6baff1938d,beta,0,0,2026-04-30 23:59:59+09,2026-03-31 22:18:44.086522+09,2026-04-03 12:12:20.712298+09,3,14,0,0,0
e49ba14d-e966-49ac-830e-01b21c0adccb,beta,0,0,2026-04-30 23:59:59+09,2026-04-03 16:07:33.992317+09,2026-04-03 16:54:18.361153+09,3,15,0,0,0
abda8a5b-7222-49a4-a431-fee4d13aaddf,beta,0,0,2026-04-30 23:59:59+09,2026-04-03 14:12:35.673717+09,2026-04-03 16:54:24.445293+09,3,15,0,0,0
ad2297d7-ccfc-4832-aba0-61e543c7485a,beta,0,0,2026-05-03 20:08:33.446+09,2026-04-03 10:23:50.01622+09,2026-04-03 20:08:33.385402+09,3,15,0,0,0
62bfdc73-d731-4d6f-a8fe-c5aff871ab39,allinone,19,71,2026-04-30 00:00:00+09,2026-02-20 19:39:33.716985+09,2026-04-04 01:16:28.43456+09,0,0,0,39,0
fa045574-bd4f-409f-a9f1-f68cbbf3e184,beta,0,0,2026-04-30 23:59:59+09,2026-04-04 08:23:41.879205+09,2026-04-04 15:43:48.448948+09,3,15,0,0,0
ad653b6a-c24f-4b1b-a8c9-5bf0ef516d14,free,0,0,,2026-04-01 19:19:26.508412+09,2026-04-04 15:58:38.708919+09,0,0,0,0,0
3d4d89b3-cbc2-4c29-a233-79610fdea2ce,free,0,0,,2026-04-05 16:40:29.28923+09,2026-04-05 16:40:29.28923+09,0,0,0,0,0
753baa12-9897-4107-94f6-8c7af0cb9ffa,free,0,0,,2026-03-26 09:11:37.50356+09,2026-03-26 09:11:37.50356+09,0,0,0,0,0
cc2022bd-7f50-46c0-8bcf-30063cc05b3f,free,0,0,,2026-03-26 09:11:54.27958+09,2026-03-26 09:11:54.27958+09,0,0,0,0,0
317eafe1-7c92-4cd5-9cdc-b49dfef3746d,free,0,0,,2026-03-31 07:14:04.575266+09,2026-03-31 07:14:04.575266+09,0,0,0,0,0
eab4c30d-c281-47d5-bfcf-c16d15c3dccd,free,0,0,,2026-03-31 11:59:59.650686+09,2026-03-31 11:59:59.650686+09,0,0,0,0,0
3cc19b0e-e3e5-4c27-bfda-e4b636b935ff,allinone,0,0,2026-04-30 00:00:00+09,2026-03-31 08:46:10.565516+09,2026-03-31 12:15:44.051042+09,10,50,3,0,0
de434294-ee6d-4aa3-b61b-dea9d08cd8c9,free,0,0,,2026-03-31 12:56:33.679957+09,2026-03-31 12:56:33.679957+09,0,0,0,0,0
92377f15-a71a-49ec-813f-eed5126c38a5,beta,0,0,2026-04-30 23:59:59+09,2026-03-31 17:22:49.30252+09,2026-03-31 19:02:29.416315+09,3,15,0,0,0
6e1bce2e-78c7-4172-b2b2-476025ba1e7f,free,0,0,,2026-03-31 22:42:36.956752+09,2026-03-31 22:42:36.956752+09,0,0,0,0,0
f0a326ad-ae87-46be-81db-3162b67a40f8,beta,0,0,2026-04-30 23:59:59+09,2026-03-31 22:24:28.010845+09,2026-03-31 23:33:47.23076+09,3,15,0,0,0
27a91dad-df49-47d1-889e-505aa793dd12,beta,0,0,2026-04-30 23:59:59+09,2026-03-31 11:53:28.094671+09,2026-04-01 10:11:02.462807+09,3,15,0,0,0
e60b6fd2-9777-41ee-8c96-93f657a7eb5f,beta,0,0,2026-04-30 23:59:59+09,2026-04-01 03:08:37.699324+09,2026-04-01 10:23:31.345185+09,3,15,0,0,0
